Title,Company,Location,Salary,Job URL,Job Name
SDN Software Engineer,Leidos,"Odenton, MD",$68K - $122K / yr,https://www.ziprecruiter.com/k/l/AAKg571eLBPA8ILknKD3lIgd53g24jpMXoDA670ESDLqAuuRDSmW_9igu5L7IYyz3RvInbjrijSqsXdGwp9MqUajDDOPgSB7Mw-Un_cLx056yLsK-x6_W1bPrbH7YG_USAiMwf0YwHUzCTIax4aaEJSUMWVKD0bJ5ekVWfUJTe-vG_GU0d6FV52BafLcRaZ-rQcJG_tNOICQd8b-IkIvgZrTSrSSmUOIeBgG7ms-iCMUojtrt8bp7NLBTMN_aNs3urDxpjaH4KFpB2DYdtN5IOs6ZyMSvZT9_CoLM4kGPBA1oKASaD99WRjIowp-ZpiPhdZgsT6h,Software Engineer
Senior Full Stack Software Engineer,Technology Company,"Arlington, VA",Salary not specified,https://www.ziprecruiter.com/k/l/AAKJTeYycOUm1JX5-VKtSklZHHsnUhECyd8Y_KFg6_A7aB-EX7VduhjXsM39MZMb_x9Jt0k1Ihh1ntZvw4ZnhbSHHDxsEBpu5jWyPms9bfl93ifjh7mAdjmNCViOBlYAdHeBw_zF-iCE7M3yuQZxts6dcpea2FBI3_YikKxlYdMZcagcGTlmAisz_BOzq_buAzi5Bn_3Pds5Vw4v9D8jzgRHvqbI_Gnr9dQL5FciIpVk0zTMwdeY72wLcv-UEivNM9zaxFYRC_M6x9-Uw3Cll1qeW6ZLg0xsAwnSGXt1rQTtoHMxupU7STTLWfsONG8mCTUSwEcT,Software Engineer
Senior Software Engineer,Hospitality Innovations,"Pittsburgh, PA",$90K - $130K / yr,https://www.ziprecruiter.com/k/l/AAIaDHbUD0JnyeCMZPCNDfeQ5poOVbnxVC5SXGd94V-I-mT-Isq8unIKU9vRUD2k6fIlSMN4ObRbnEZeKGkVHymzeNKpr8oHwywvREsN7i9Fk7jhg8AajELbM7JRy5o5wxPodIjSjOhqtngaqVjNrKh_5DOQCf8tQELlMs-WqGN1RGiyFO9PUyCZDXI3a3DiVcRHwR6vlW2UzKGlMuAqx_N_h2nnZRb5GPi9BOMgF2hhH9lpRw1tqoEUEXTAFDYemE2BTU0PCKd4JA-dHI_MmWoR_63HDk8tQMZXDRyGXyMrdTUb13FFpnwyD7E,Software Engineer
Senior Software Engineer,Officerreports Inc,"Baton Rouge, LA",$120K - $160K / yr,https://www.ziprecruiter.com/k/l/AALDpOC4Pvxq2q_5wO9MOCh-Yn4j8eRL5TUsnkidlvAKJtVeoGn5nRDtgY93eXv1bm1JGKDU83Hqj0t_-qS5bUOvxLkzaPa55oHa2CJp_yzJGrUpZRtfyiU0J-41S5_Fv3JNUMs3u8qmWIQInQISAeKvYF0TU9BkKcj-EslsIDxxSaM2dnvDVvQLND5pR7ZNmp9E4Mj4u9WFpRZ5fTwwNdG5QxnfkZuXE7JhMzt9h9-Ab60_IHhe7nkkkRgV9phsx0ALKunJ-92Mz8Pd7lmg9Z8aLSbQFtDQrRIXNXHyNSK9l0IMpSWa_Y6WdVrfMkmYWHuotBx6,Software Engineer
Sr. Software Engineer - HRMS Tools & Tech,PaudhaTEK Inc,"Remote, OR",$100K - $150K / yr,https://www.ziprecruiter.com/k/l/AAIqnBDs_AOZ1u3DwkYdBgBrxMbWbyzQ_Hp6wKDxs8MzmEwpS8qhD8NcMItpVhMJ58M6C9eZudeNtPpyhMYVv7JpWmt-QxGz89m4RSsifrXP4w5M_3sRCBvjCiptUe-PhYEXjNHZCpzIFjlCqi43G7WHpLhAUPUtzdVFMeXFKNKKj11HerRtNo80tLP4ucBNt4Rzt7wk_Cfu0FOCZTMnSPjPVWE9jV0XaFmo7lJo_VsHROQ0tAUTFUCyBfzEojqI6AsyIqhh-wRlKzEhLYQE2HPfw-lSgqOENZtDEIoSDvJ_rw7nEkqAI_RxD0w,Software Engineer
"Lead Software Engineer, Integration",Bamboo Insurance,"Midvale, UT","$140,000 / yr",https://www.ziprecruiter.com/k/l/AAKeP5tzf7jCPr9GpO8jYwFb3YbCEvrDeGiZo0LAFLfam4RtDobkMsraIaQ4KiDmzdcRl2Rmo7sd1Gjxewf6iphYJmZg2p06iFP6MIU247r0M2JSV2mmWrb9g7ChZhwrW87dMmMkO4kPJUDCBYAizav7238Cn5FW1l517o-I-njFGIaV6BdtpioZiekY4679XjLFChg9AnFJzMg2l3IqMVtgFxhbLWUAvMp27NZz7-DG2bIyRQmYV95wWfBGs3w3YMDeb0YaqkelKWdUKXNStyKtcYIhE2Yve8TSia4ms0mKDiuKjEYHjdVrEREuvI_d-mtmwuE9,Software Engineer
Staff Software Engineer,Fluidra North America,"Carlsbad, CA",Salary not specified,https://www.ziprecruiter.com/k/l/AAKCTJwVzykDvBIfN5Ip9Z4bDaVkw6lRGRYoAhQ9DdoYNRSAp324QKKvRzOe7NaRgO1Rgo7B5P3NoQdMNWczGXq-gYraAgjp3uumoHL8MFNlvGq-6nKswnkDXmaXqtKmAf85hrOowwVxYt6dTxf9JQybaMCYskGdeZ3CTBoK5huPEZifDzaXnpaGqiqOBETrmkBRfrJO1SkljoraJ_v2WurfB3CsT2bbN06clpTG2AkFM3MnJYzWB1O-wjw1iN7svR4sYfZTs1a9EwEyinkVDUEHGf64Z37Lag6dhLEWLwFgDutkj5RRUc6eC-06qfC6O5AwToSV,Software Engineer
Staff Software Engineer - Platform Enginering,The Chamberlain Group,"Oak Brook, IL",Salary not specified,https://www.ziprecruiter.com/k/l/AAKCfUtGk1rOeEia1lKa_F8Dn5rycTeHolYc9tC7ND-H-4Bws6MM03mi8QBy3giVRsdcn2Bc696M6zWdqQP_i9o1x5cXpCH6NDyBN6IBO6zNY41hOsCUl5nGPzppXB8lUlxAlm_N8LiwYzBXEeSqjS3MS68Y4G_k7B_TB85NhNXva0MVoUN6on8xfepYUxCs07Q10vOT4PA271c8c-n0zKtuf4LAEVV1R39vh9mondRBJ-LGSO-SBBclOsfo8RQPMKWBfDrGfwfcNo7E4cS3Iq9A-nssaRmpmd7V54mjAX_1BxqVIWOJ4jBeOa-AGfmcZBjJd80,Software Engineer
Staff Software Engineer (PHP),Labcorp,"Boston, MA",$150K - $170K / yr,https://www.ziprecruiter.com/k/l/AALgqM3agxzJHBnAltEa7IF0TOVYG58qPGeR78Dhkf6b4_4b-znDH-_UhJTbkD97ixzFnb6ynA9mhEDg_-iTKVpUqIguyGBb-wPkG3VgtteJ-POHcdpwfEkZ3Fg8wDi27xhp1hwGDIHbuC4skEFlCatlkPygnojJw2McXqglEUc3QUK8PGSdKGXhaejdAGgGJcM2UtyGBsyDLWefFjzDE0WxwnBqyUKOH-nW9D25uahuJKzy798Q54aTBoR2nxwwE4s-ax0h1KcCXv7V3yVWlD_S3LYck89eZYqKcJqy3VTmlJUoivx8DHHxuw9ZEcH177cdskk,Software Engineer
Sr. Software Engineer,BCC Software,"Rochester, NY",$121K - $159K / yr,https://www.ziprecruiter.com/k/l/AALD5kYNKzUwbYTzaElAeokUjaD8Y-ROjE0Z349oYP7vZGxD1drT1Xt2MVVd2YXtb2So2Vb98ZSKaKsA2Xd_JBfaqqPJqhVA7wLJNlQJ6J_nnHQ9EYizQoPaxYXdCsnmkySzRJOOUsph8TL_1Oqcb3WY0NrtQ3u6n9c_4KwML-rP_hyUb8oCGTtirGMK-DG-dCEa7vKpdalZaoSa-hlvL4zc5fNtwdIlMBRlweVT-zcZ0krA667bububNighpLSW56MozhpvUKDQALYodJ7xUGVWILszMUuDRDm0mWaYV729KFvkikKHsBJehA,Software Engineer
AI Software EngineerNEW!,Tenth Revolution Group,"West Palm Beach, FL",Salary not specified,https://www.ziprecruiter.com/k/l/AAI12Z45lqs5IAGvyV8SEXRdvLrnkgrNtTzqZk8Fj2dVP3UfnuuP-xAy6WGUNzh3ZsYq6BY2LEH1s56IOH86xecq1fI7r3jkRNVQCSPnngczw-VfoDaH2R0iOpGJuXCClHxi8kJJ3L7H5Ku14KIf8rx6gV9ZQ8N6r0swAZmoS6XfsTMh1PxSlZGhBSzitf67CJ0k8bqdQb7Zn86OxkWxm7gG_F7hAWk_BGydPzKTBvjqppRmqMU1fqxxbR4etXFoFUX_CxtrEI8eushPARE0ZH9QKibWznx4VBoeLobq29pKGiveyBTY_3136Q,Software Engineer
Software Engineer,Breeze Unlimited,"Scottsdale, AZ",$120K - $180K / yr,https://www.ziprecruiter.com/k/l/AAIkq-66yhc5Rd52fAVYsU-RJOcluFQnzn8CdCOkQr1wTdfuhI56V93ojqb1JK8UNTeK_HXBIAPFfr54RSuzfb5u8v1K-YX0iZOHRv1CfsOzg69EROefNCmhfRh-G8Z6elzyi4X1HFZ-T6XsIh2KVGG8Rzc3rJUhZXqF2e0hGqUG-lM_XdRCXkwwSfOa2KBWv34uU3euU9EPJycuxwr9bMjZ6o1CQmxWVb9lUijL-Lsy1waHskkz1PKHEuUMQjrMykUeeGwVSZE1nCgSCmUUft4SoUGBRKWIlXdHzqMX8X87owmoxG5hTB7uzA,Software Engineer
Software Engineer,Software Resources,"Los Angeles, CA",$70 - $80 / hr,https://www.ziprecruiter.com/k/l/AAJDgpEI6NQ3PwRDO_E3jzkOJWnOeHK9rd4ZfKOe5Gj_hhBzJ7gQqa0pyMqpozTJcTJhghRFfa7LwY9OT_IQ6fzTrW6PpLeyBm9b5ijaNqtDTFhfJaxuT_XiS-bNMHlGfitkILX-KFuvTCmbyFVUcA23K8hO6tKKvqgh3D5T8un4ZsdcFejoAFitMIt2OPXf6H-89GUwN7kl60_IMfSx1hAmm5b6Aj4v87NB5RcgFQc1eNoZhpA1_-6qZKkhDfN3I7HJxkgQll2f3myK9t99m5zCA0lD8Qz1mQpuL4LAGv5Uzv-g6ymcVeFZYw,Software Engineer
Software Engineer,RIT Solutions,"Tampa, FL",Salary not specified,https://www.ziprecruiter.com/k/l/AAKcT5OPZzAe6P7ZfuekXpAF4BxiQnw8jgf50KsKxf1GYKv5o62HgZWrhPEQLZjGdYuywHeNnJPApSUfnDjQFeGpDzwOaDCaIGIe76lVLxr6Qjd_CMaF2Cy5blmkikQjPIP6YDNzoGlJG5jUl0jImMTAhV4JoHSaEp1y3yCP8qWwEbVXLQ7eF9cqJVAomtcBmRna4hF3cGpdcQiMu36TbJLJPY2mzMgY4hpg1CZdnSQf2PkCsBRxAZxaDFrrlw21qXltBkFTIOY8K7Vlgd5BOOvV4a1UsPNTjLW4veksTTv_gksf0Mo0XuCRHg,Software Engineer
Software Engineer,SRI Software Resources,"Los Angeles, CA",$70 - $80 / hr,https://www.ziprecruiter.com/k/l/AAJ-keu_KHUYKIuC4mUfbY5blOewmTxAwmmfKVZonkNArzpWhyRJPpQjS2C90ZnmBaldLfHWl2BdNI5LmBWKPWcjY1oomF6qV-ZhF4BStF_0FE0dPScGOOIFFnSXAS2qP1we-rvk_lIgrS7pGFf9QHD8CniV8QRrmRNUVD8gdE6XNX6FgEEroodpOMYODPvfMiKstJYVsEPoHaztgRdGk6GaZ5-AqQ-KixRlKbL8WougSuYVtpzs1BpsVIT6OiYLhP1A0gqIl9Yx_rqdaNfqgACq5GQD0RHofxzgFUoasKtx6Xoop1ebVlzOCw,Software Engineer
Software Engineer,SphereCommerce,,$120K - $150K / yr,https://www.ziprecruiter.com/k/l/AAK2dYaUJ0DzGjtLQRUByctzNXZTUZYGOVu-Edso2HcZE-coL2uIAr-MfurdLYc11AKIeMnjSpxk1gJPwgi5A2t6wdm6I0ivC1G45BHIeCvBhq8EoOOFsxxQozM_do-7uPLGU5wQwnQWbx39q11WzKaEGDdkzEBIRVDVHdYYOd_AGIIRxBNPBQDdywJBYBeWEe0AmToaqIXKJ_inUvYPFA-8nQY0el3HAlMqF2E-QUPDRMinhjK_pru6aGHNrit9k1elN5JoXO-2rGpnrRKo-l99mxEbRh1RskKSEa7NScyLbRbEke1gDIO13Q,Software Engineer
Software EngineerNEW!,Okaya Corp.,,Salary not specified,https://www.ziprecruiter.com/k/l/AAJhCYJUVuFUSs_xosGgQRkuxLlgYyL9CAAr_Hw1MK6g_FKQwafG3hX4wC-G_zVrwqL4wrUcfByAHTgHA7ZZRIPl14SuWadMSvTd3DHeuZMXAUe9qRwGWRWv1tMne0WGiKKVFBEfII-8PMGt8geHULZMiKoib2_SYmpBNxWv3gD5HLcwvld7_hrW354SnDdzhnSbcnWznQpKl46xe_jsrbM1LkT12VoDepJuJypH5YSV55HautHgOVc2u_4uSwGEgFlCDF3BplyA3x8kNvoFfxWqG3phY9VLNxBLsgi0zs7JY2ukY4EpzwQTcA,Software Engineer
Software Engineer,"Alteryx, Inc.","Arizona, NE",$121K - $135K / yr,https://www.ziprecruiter.com/k/l/AAL47S4DCg5n4hM6cIfpTx8qmZZBNWZp_97HQr5yAbZBvKTlQtAepCWldXA19kYxrxlI3wZ8nzUJwCUArTEaFsgb93-vXAos-DiQs-ZDnDlS_AYMR8dgbsiwRqyKDFtguuXyTYOlsMQHw7j50tZdU432CRTjK6wBtxFh3XfRK2H1Wz5Ti5_rIL8P8llRe8JmmEYEXBLeyiSHmVwelQl5RuLic4KMWhvR9Mr_7Z2GC5KIG5JAfo8fmhkxdNtj3vpWZyT9n3VwLg4BZ6W7-M5eQEdSuTaO4MVs48HcbTsFXjcn2WRmtd9E_Rb3mg,Software Engineer
Software Engineer,Aras Corporation,"Andover, MA",Salary not specified,https://www.ziprecruiter.com/k/l/AAKuZnFsXfTclUGFFC0iqye0NBBrQQIBWAKI7t2oA98ye4qo6eroPYEelE0EFljj7I2BEat19xW4095BhUCKdAuKbJ2WBMr2LCr3rPwu0uHFgKqVeoJ4yeYHZ4GGhISMxaBVsnGSpWJ6Hwj14Cjy4rWeejK5bBHSXsj6U_Jfctdj0q8XM0u1e8H_HFdrtRtB6B3xreaXCJ35Om3SD__DzdNSP7hWkLJ5KTfq4u0eIYz6hDifRBC5acVJ_YEwP-rkp9H0PC3dBlBUFTgGRC1HAhi18E8M1CDhZYAZZMQj96Zy5_kGnZxzBFGTcA,Software Engineer
Software Engineer (Tools),Lynx Software Technologies,,Salary not specified,https://www.ziprecruiter.com/k/l/AAKDO2DteFT8hUej2JzogQs-MeQLEWuYbhB3fK-F6Q-XYcvK0SH92YjJqkOYq7Lp_eNTzqg2GcUJQZzbxcmOVaAhLpMh9D1NPBGldeBaG4Tk5-1mJB-5Gngkcuza7olMUdflvu1KYKYXQ7mvlI4WP32ey5pkAQaYaq_EZ72qy2dd4x9rxzQPgW6i8ISEYSqJW9w4Kg3ns2CVOLJcTh9JHAuUwVXv9cF_cY6FvqKoxpL8Yr3Kz11ZKH2y-Mfnch2JYlnQaWqdbEyvQk9-DhTc6oa-FZMk_LEHhQagr_d3YWQ14vdPwsX6iGVhOw,Software Engineer
Software Engineer 1 (Hybrid),Captivation Software,"Annapolis, MD","$130,000 / yr",https://www.ziprecruiter.com/k/l/AAJpIZbUNhsXjmZoH6NEEoc2PM1zagMt4JAYtFZTlDxdsa4NMcfVknzg7Y0jAKUDTXuumpbIuL4sdsAG-Yp1qa4ckL_r-w3g1xXhgRX2MHk7zuJZBu92ZOtFm1OoTDLhfjUWz3LwFuCrWgLyKyQYHc3NESQdCa4X_5jnCL-lkrIMevJiA9Qw4_32xkWtexNP6ozWkfsBZuCamUXcd1Y3VRa_b9kaTOICrV2-vQMB2DxYfDJlVq_Bi_p39mSvL-Pz6WRkVMF428Ietp7G76_vDwmcFjOzCxJt9nTrIzPwXwn1QnZejbMScN04ww,Software Engineer
Software Engineer,RightEye,"Bethesda, MD",Salary not specified,https://www.ziprecruiter.com/k/l/AAK64SQ3FITC9qE_6JUtL-ebjnEz-4BpF2baV4WjumndocvL1aXtQ9ubVcroI8qe7IirYC3iG_GBXoSmPjEgSEcd14V2rLLfasPrTnu-gtfjZ17BLBO6t-ZioT3rR60J-gOtl7Z7mUEw47C7JPwkozaYchfAAsFnR4uOjWYPjbpQ18ZvATPL_uc5I43xcIwguf-J5T20IYt7DekOCYRBc1Ff5-iuozHNomBtvLd9iZQt0KQkjsIURca9VBP2cLkrSb_0qGT2l-RtrnuCFBhq8b9V8Elkfhjzi9nrygn1OkhLuqYbSNhPVZgY0Q,Software Engineer
