Title,Company,Location,Salary,Job URL,Job Name
Data Engineer,Pantheon Data,"Charlotte, NC",$100K - $132K / yr,https://www.ziprecruiter.com/k/l/AAKllz_IXZgwPrNy9bb-Sc3LNrN-6jL9jmr1brtCCQGxIpFbBaXXFYwLOR5ZpihfAHv9Vos0Z6BjM-_u1614SYasiJI46GrPilCXes8ahDBWNPpyHrlClVO6BXmBfsYv2A2ncCXQ-3u-OW7zJoKkJhExG_QaBvKNFpnzlqMrnk0UGLQ-jgzyKeqtZefr-hZBVTZohVDFyU8sG9Atz5uTnJrh_LpD8s1MaS2TGLGOCRIJ50GwrYYar6lUvI_AprGz5012NW2jut2S44j14sPEue3Mw8JGk3ZNUSyfMWxLpnkG924CQtKHxfHXUA,Data Engineer
Sr. Data Engineer,NTT DATA,"Dallas, TX",$70 - $90 / hr,https://www.ziprecruiter.com/k/l/AAKzTPc7MBrYUBZg-BO7sB677ikBDce01Id0-zsVPcPPPhm8fFJS90DDN6thHUdCHeJYBs68Y1CgCBB4mXsAq_tba1f1aO4aa7yRBAQ2hKD1yGVq03Xo4VWDm7sDJjzsLE3eWRD7EXYX9MdPnXo6JXAjI-PztgFpz3HOTnZtkfnkQ2iHeOP1Lu1tPmwIXIYE47T_QEKc4ITX3f0mzsI2M-DS0_3LhQn5-IT2qsKjLdag8cimv_OV4R_WCZpqrm3W3yP_gMqgxu_OOruJGgRHZE3b1PmB5_uy_7z_21yHgrs0_UOjqDMyQ3dt8g,Data Engineer
Data Engineer,Axis Data,"Dallas, TX",$113K - $136K / yr,https://www.ziprecruiter.com/k/l/AAJg21O2-DKvDvPduHpDCV0620jITmuEG_sqIlI2Q03ZNJ2uqIZdVkecCpC1E7_GaZ-dTw_JUMb8RXVKr6-tyACnUk-Gf43ucXIXakP-NtXredczlqy6ZrgGZPqiLaO2cAamu3v81xVdlu2Anro0t5AaAHLhQ058_cM68Fq2TrNH50p2MvuRSThtbvDXJkjzBoAmYf_-AxLycq6ZEJWKYpLuKJxyuABkfH1mkdiYCrXHNefk_CklneWYjn4UaeBTZmTs8VuVG5Ocez_T6VbRCR-k3xyuP00bKN5GU5HeuB0QOKVDIz0f9aJPJA,Data Engineer
Data EngineerNEW!,TapestryHealth,,$110K - $125K / yr,https://www.ziprecruiter.com/k/l/AALyYX906pB3SGRwnHHiDSTOIa9Q23MinN_B_FiYhCWfuZmwd9AXNCNcBelx3ow4ljnr_EU0-NP5wIQb-5t2Yb6K41J4_MNl8k_xsPOgHTeCduZ3p1UBl8NsykpRGAV1QmDUhaohKAZjlvOxeasAxdkdFiDocaKdQtr3yfdRvnqPhlF3hC8HZZe3AvI4QbCUTyjCHdLO28FpkYG8uSRYC_HBa4w57Wgp7bzW9c8se9ScZP-2jKQ-maBrh3JSWficRQNGv3FGYnUdcZdwxyo1Ic_I_sm5m9SU31e1m5WztV9o08bCBcnQHmgiuA,Data Engineer
Data EngineerNEW!,Stellantis,,$117K - $141K / yr,https://www.ziprecruiter.com/k/l/AAIDSr8oqO5u-yyJqgpsGe8s9p_T3ADOGfnoJJ8jpbmfH7LGovCngwTirHGUnF8m4oDoflRTBNK-9eQ59tU9CMIf06wvoEUXn1-NO8IHz536phw4qNlPIFUPBFVSqXxzx45dOvwZrkVtJbVNOM3OXlFByhApmvTPslR1WgeAU6eNFLmXl9galm9gzj77nQMWcLSJnLlwrVk-YQoLeXTfbijw_QEB8rysdC1LM40KXgvOo9mjlRjXzAQrJdqGTYl4CzVYpVKqpNU3rm2ahfSp_WW9MaOyoQ_Qgq40ehzBwlEW176GQ5GQft73SQ,Data Engineer
Sr. Data EngineerNEW!,Genesis10,"San Francisco, CA",$82.50 - $115.38 / hr,https://www.ziprecruiter.com/k/l/AAIxKat5QvAVF8L81Du52RzGw00ynSv-C5SYCwWNzrMaV5nU-LABixddTWGeHn8TMrP-lQulAxyBy__NQhanV4LgOtlgQ8hh-Pv8E8TGu0Gb-U7x3uk9bQXcnd1-9L2RQ2HW-w6QrgYIqJ-vXJ6keAjuS6OyHo-k8CVH3FNivAsfKZfpGvXk0UyrXNNlLve2q3Jgs61I2Wlseyc4OA3evyTe-mmJlY3RdQ6NsXtzKMhBCB329371b-s5Os8NUJI35VYXEWP2O31-xrTKPBsDuAljuaEV3WUXtMPXhk2cwiaTNsex7igotj6ohw,Data Engineer
Data EngineerNEW!,American Systems Corporation,"Chantilly, VA",$100K - $120K / yr,https://www.ziprecruiter.com/k/l/AAJ9oBj1yXTeiL2sgiVzig9IWf18CoKo18A76M4w8bdHvUlbef5q7b4ZeOMAMDtWinyosDbctDQGoa7QufQeIB_5FhodftVfjPbTjorYKW_nlzTPC_MdiSd_XwTuR6l1U5nz1wRioXXS2mM-uaW7VU90qGB9YPLVC1J52Rt0z8zL6dSbyXIFFxw2ylM2AvHdSkf80SPBuPlBByfrsjC__9FMXxfavmaZw_adORXoUN6lRCbLxpJULqg10Kf08nIAbrdcDAvpx6C0GHCqpnSl4gH8Mcf4v0_0gxPUKotCQMSETJ3gJtd2Rf-UMA,Data Engineer
Data Engineer,Syntricate Technologies Inc,"Memphis, TN",$111K - $134K / yr,https://www.ziprecruiter.com/k/l/AAJwJqPZRbka06mgVBjpba1xzHwu2jnWZspg4mqYO1pcmWgDLWWElxf1jSuZBNwbBtg4jTW7kKVXFEn8-tpsmlcJtQd7DD8lGp0OAUyX6w-EQXaW5BLBjsLo7dr05HLWljTyhBUMobnRcw_3xWlWr9aW-xyT1_fNsJz3uWS7zGyzJf8mibu7b6PU87PaVzKzL3ZRgZuoN-noVir96xNDff3GTitvPLB4DT_bcYnjfU8lLpnbPPThgsLIXxaF4Z6zg2yGk-y6sTM-7gphG9LXnxr6z6G5CYzLcSEqYRHqnKBMKj7xbYeeRCWnBQ,Data Engineer
Data Engineer,Canoe Intelligence,"New York, NY",$110K - $140K / yr,https://www.ziprecruiter.com/k/l/AAJ9hVthk94WX1vrSIfTijQXxWR7GO11Pe032wvyCuAxAEONyvcHST1DXj1Ex7kkdek8N95XX8nhPkUJPzyhMFHA8KxTARgPJ0MTPhzrbIHFkao63xOG2K4rp5XtvHeHmXZdyzBTZDyRSpTXVEJcONNAMc1fg5hL9ZHOtEOB0ksIjaTuSC5X6trBWpV4eD5z0-VkpdtjPuXOlhgvBHFfalCSQykIiE2pKa_RvroR_GrfVanRH5nnMTS2v-w_nq23kMXhd8OoBH4UxDyT7Am6u4taMDcWEUcnex3j9sbbz_LhiHR5JHg12n3Uog,Data Engineer
Data EngineerNEW!,ApTask,"East Brunswick, NJ",$60 - $65 / hr,https://www.ziprecruiter.com/k/l/AALK9owV8w5U_0GMjVJh7dAAWCFASJaHykBu2wEG-WNlug0NjWnranFsRBQEXDdvCSbu2pcwPzZUmLAoIa4ghnOmnXD_MM16GEBfIPX3z3nxfYwV7XMtviE_iOivl_JE10q2i76OhXfZE9Cy0n-2FTIC8pjhi7_uY6yM56J2Nc8LLw_gbo-dSQbElt8yoV6qfw8z0b986AVM0pPdIR6EwPlbmPa3VyWqckTH_-Q2xa9H8GfM_kLF6X2RzDcm5e3h2CusYnzZKj8-Y1r0W5knC1ZC3XqndzV_TQFEXHlDXCm0SYaV-MVLKCt8PQ,Data Engineer
