Title,Company,Location,Salary,Job URL,Job Name
Associate Data AnalystNEW!,Genesis10,"Sunnyvale, CA",$39.81 - $53.62 / hr,https://www.ziprecruiter.com/k/l/AAI3uN9L7EdeSpCacOzFdDgz1R6RucIM4EVg6FCS_YUrs507KkpLvrINih3cy6lh5aC3B0LrO6bDtPULTCfWia9kIfnC0ITXzZrl8VwSt7hKPkH_ywZ55ZWhcHerbIHF9y4CaIOd0TTrUaFjVir2l4yGn9JJc-jYXxo2sRe4SILg52PgRZVNzhW0HvS3MQvQg8kYVfa8umMLgibAu8gvLSGIIhn7VD3BxInNQx9Mf3wVByciFriYKvX7VMR50hjKCAZ-BrhA8zwPsDUtNtL7xNd0swcKO_kNTlJ8-xjAvlzNcHoT34KXPaV8Lg,Data Analyst
DATA ANALYST (Remote)NEW!,EasyPay Finance,"Jacksonville, FL",$95K - $125K / yr,https://www.ziprecruiter.com/k/l/AAIHogLGMrYmQ5UGuOiiYw3NLh0vyF7YkyZJCH3iG7cRNGjpKpbTPv7A1QcaCA9fEmMgAE6c4FjGDS5LUJrcZoSXbPZIGihk4ncBg8-qRfH5C0Au66pcs86hUVVqqA09smDB5yDXHAbuRvLLFtf0gWbv4Slg2mwNpL4N8xyu18Z57965bpP75kkoDiF3vg8TxBFtM9xQ86IjPTraAHb-KvhGQfd2quSqtAFtBAYHFgmt8wysHvLjXMuqQJtIqIIBRw4ACEJezMd5ECsAfka7tNqwZQwylmnTNzRSDPhD51CBUd7Lqk9UCPhNNQ,Data Analyst
Data Analyst,CDC Foundation,"New York, NY","$71,999.98 / yr",https://www.ziprecruiter.com/k/l/AALRqTMwcaLEcVnCjc7hQV_1wWNnXLPY6wkCARyeuc9wsIp0PdxSQ9eyrtSgJYg1CLjqLZMAtGsrLYAspQN80SyWulYw0PYB1pBgtN325yoSul6ygoW5cW2NEMUgFIMUwv_Cf1gPewOhsELkwGphCI6u14WeT5Eke198_RW5twGnRhR58WnulyY4kh7V7r_SKrKUJzVvKXBQ3jkigf4OaG1rVoaLepyvJQx6vPYxob9f5_RzOEnTbTWTHniBf4-jBjurEVoIafFlJUcAJuQ1LZIaZsuPIfLS_hA9Lh-bHeX5ATVSAb1O6j--Bg,Data Analyst
Data AnalystNEW!,The Leading Hotels of the World,"New York, NY","$120,000 / yr",https://www.ziprecruiter.com/k/l/AAJIGU9USGxd3F2LPKv4BBY2oV8C3ikMaOX_oW_YdTe7vhgkc8w21m3AKetdwnng-FsEfUE17oisbh4Ckn0JmWEQnxtyhbFkKb1RiPY2DQMztDlAxJugaj3BSssSHFUzAcre73BA_mpWaF9JRX2CplsNuxAb8SZni0lGFvbKRCQOxDirA8Jkx20R29dVQ219ST-C4oo1kH96MthgEprpTIiHEFbIEyKsDUk9XzgHfTSV8Ftj54gVyKdwUjpekHyk3d6YxqpadwBh0aYa5_p6QHSNLJxuEbT4wpaW8bNWiYC38IuwmDHbONc6ZQ,Data Analyst
Data AnalystNEW!,Edge & Node,,"$100,000 / yr",https://www.ziprecruiter.com/k/l/AAJZiBBX79AMeQmB5SlxnHQ2jirCN42PoKpjaO3CrZeqX7KnAx2vmlD3XOwGaTBKU1Cj9GJ4JzcpFmDSrIuh3_VVvH0PdHoo0SAA8_dptvlRd0hRso70uXPkRz-6G893dvsgVwvrXZtsvL6-YZ9JLEx-k0sO84pie9VrJj_i58cpVaoy7laAuEFaRLK523fx1-BmSnIXwCBGbi6Zbr-o6TRbv1jVV38nQLwaYDWlnnroAeRoU7weSZ7QiPgzo5quDJTXKCVHmt7fm-MzIutjFRHJHY2JFjPSYvlfbOQgVirRkE5aRFiRIF6smQ,Data Analyst
Data Analyst,Everlight Solar,"Memphis, TN",$65K - $100K / yr,https://www.ziprecruiter.com/k/l/AAIB-A-En9mKUlo3x8YnwxXkLfcJL_YzShzE7jem8LMcGPgjiIigijLsGURV85gc-kIuijC531jXVfPHwjzhk1hgAVS53OBjR4jiK61XtKbRCEw1tlfVwFLZUmI2hzxrx5eWgdT_eJLKDKKN2t2mQwEuISQnLge4RKXzQhhK20vNggpvyG9bqleHuvtZGFsd8iRMiJVT1UWcggnhC8GYzWDjTwd5WEVDQpjO3IcFb_-g4RV2L_Hc3J25d5-W-RoOqA4kHO9qjE0zRiP-L6eOybcqirlbC3CSP-ORAQxPpWBQ3I_N2ICRGE8rgw,Data Analyst
Data Analyst,Act Consulting,"Stamford, CT",$42 / hr,https://www.ziprecruiter.com/k/l/AALHNvBWLFPuk1wseanJU77BYZwENQxI5g6VFk2iti9k7qiVqxMj1MkF2nKbRr32zUWXjrBqKfu0uz-8_RUAPbRdnGw2pEvqGB2PjaQvYW2p-VMH_u8tGV6Rk_y43B5Uk0hQs-XwYO-GaeGYXXqsJkwBqM-NW4pYrCGe2LdkETVmeCzxQvRjoWJMBunyTzgiersZJ0OWpEdgCVmcFzZbrSIgOnhqKnnP1-8_G_xxGV02HUPRHvRjZvMXRsCuLve7hyorXMnINaf2_ifOi0e9-U1MMID1DJ5qHoes9_qlJ9sP_Loor89APLA-Qw,Data Analyst
Data Analyst,"RICEFW Technologies, Inc.",,Salary not specified,https://www.ziprecruiter.com/k/l/AALgD6cW0Lc54cHzFqB8XVVyXGIna9ZXWqyZJHUIt4aCVHuZL7bmoUeng92wE4QGgayMry4R7WD6pXZbgQrrGk6Z1gRmY2PoRoKltRJgsRGY8YRTnkGfLeJWkOAWRzdW5K9dxozrQFdfe9trMsPVGH-GTYUsn1MPynoxUYb33C9rKQf3d3YcfwmzMougYJDAwH4v-dpBPz7nLIS9-y0j_K2VqBJE4g6HZOUQkxyCtcWa3CYHHUHvrqtRj2MWoAeO3kpXWQcmxS6J9isjlya_LPYbeFLSlzElwzyAXgCoutoLAcjW9VhQgYzgwg,Data Analyst
Data Analyst,"TQI Solutions, Inc.","Chesapeake, VA",Salary not specified,https://www.ziprecruiter.com/k/l/AALfh65JnpXdC0axavuzKQCKGjApJWtxq8v2JbUi-tT7fAS8fdY9Szf4Q3qJ5yzGgA_YEBNS8j-lepniy-ImhCTLpNXtic96i_X5c3rm3vV9y4sHFLm0SwfO1vfeWS_B7PwsEGK7NJ7YvRUAKTlQGslyB1kr9PFjRSlJDYxuJ2f1KDuwu25RR0Druu5UfX8sAV3TT0zAkASKLj40Ltbz45qdSZSqmJ7W-Qia55twPYiOTunQyOVT_TT9lBt3_jGRivejG5pUz4O_AVzp1JrV8pu9Udy5Rl8y3mmgqan1wYBxAWpUNmEaESWLeQ,Data Analyst
DATA ANALYST,4P Consulting Inc.,"Atlanta, GA",Salary not specified,https://www.ziprecruiter.com/k/l/AAK2TeB6yHhq3LaTbtRL7_-4jxJNe7eLA8L8SXOwreDAm1UXG3ixywj7I8NGrYB5t_CZCtZQZXaoFjfpudV7WMT33udosSOPH8EG560ibrCzzlLUFx8ogtFuWQUgMst5na8D9y121zFtbwDoUA56bIlG5Py4dPdqSWL7jntOfDmZ_Gkg6VD8RhYW3OWvqaOqHo4rqs88EI99XGGl2Co3DVtWs-VuI78VvtBwxyZvJBUKiv8wXFwPCKOJ37ZmuWJ2xJvTNydm9Y7okF4aFQIhYqpHnHtbqRGC-pSHCLaRmbyFJfl9fqqmsQh5tA,Data Analyst
